RUN	fti.GoEgyptTemplateExploreSimulation	goegypttemplateexploresimulation	1576078166914	 	3.3.0
USER	GoEgyptTemplateExploreSimulation	1	START	1576078167947	1576078167947
USER	GoEgyptTemplateExploreSimulation	2	START	1576078168044	1576078168044
USER	GoEgyptTemplateExploreSimulation	3	START	1576078168124	1576078168124
USER	GoEgyptTemplateExploreSimulation	4	START	1576078168194	1576078168194
USER	GoEgyptTemplateExploreSimulation	5	START	1576078168275	1576078168275
USER	GoEgyptTemplateExploreSimulation	6	START	1576078168354	1576078168354
REQUEST	2		auth-check	1576078168045	1576078168394	OK	 
USER	GoEgyptTemplateExploreSimulation	7	START	1576078168434	1576078168434
REQUEST	3		auth-check	1576078168126	1576078168473	OK	 
USER	GoEgyptTemplateExploreSimulation	8	START	1576078168505	1576078168505
REQUEST	4		auth-check	1576078168195	1576078168512	OK	 
REQUEST	5		auth-check	1576078168276	1576078168576	OK	 
USER	GoEgyptTemplateExploreSimulation	9	START	1576078168587	1576078168587
REQUEST	2		home-page	1576078168413	1576078168631	OK	 
REQUEST	6		auth-check	1576078168355	1576078168661	OK	 
USER	GoEgyptTemplateExploreSimulation	10	START	1576078168664	1576078168664
REQUEST	3		home-page	1576078168474	1576078168694	OK	 
REQUEST	7		auth-check	1576078168435	1576078168731	OK	 
USER	GoEgyptTemplateExploreSimulation	11	START	1576078168734	1576078168734
REQUEST	4		home-page	1576078168514	1576078168738	OK	 
REQUEST	8		auth-check	1576078168507	1576078168796	OK	 
REQUEST	5		home-page	1576078168586	1576078168804	OK	 
USER	GoEgyptTemplateExploreSimulation	12	START	1576078168815	1576078168815
REQUEST	1		auth-check	1576078167988	1576078168842	OK	 
REQUEST	9		auth-check	1576078168588	1576078168872	OK	 
REQUEST	6		home-page	1576078168662	1576078168876	OK	 
USER	GoEgyptTemplateExploreSimulation	13	START	1576078168894	1576078168894
REQUEST	3		fti-default.png	1576078168817	1576078168934	OK	 
REQUEST	4		fti-default.png	1576078168817	1576078168927	OK	 
REQUEST	5		fti-default.png	1576078168819	1576078168939	OK	 
REQUEST	2		fti-default.png	1576078168818	1576078168933	OK	 
REQUEST	10		auth-check	1576078168666	1576078168942	OK	 
REQUEST	7		home-page	1576078168732	1576078168944	OK	 
USER	GoEgyptTemplateExploreSimulation	14	START	1576078168955	1576078168955
REQUEST	6		fti-default.png	1576078168890	1576078168975	OK	 
REQUEST	11		auth-check	1576078168735	1576078169005	OK	 
REQUEST	8		home-page	1576078168797	1576078169015	OK	 
REQUEST	7		fti-default.png	1576078168954	1576078169030	OK	 
REQUEST	12		auth-check	1576078168816	1576078169070	OK	 
REQUEST	9		home-page	1576078168874	1576078169081	OK	 
REQUEST	13		auth-check	1576078168896	1576078169147	OK	 
